exposure,outcome,stratification,subgroup,subgroup_n,subgroup_participants,adj_set_idx,adj_set_size,adj_set,status,coef_mean,coef_median,coef_std,coef_ci_lower,coef_ci_upper,p_value_median,p_value_mean,cohens_d_mean,cohens_d_median,cohens_d_ci_lower,cohens_d_ci_upper,n_pairs,n_obs,n_subjects,n_bootstrap_success,significant
promis_dep_sum_t,rem_std_t,sex,Male,8139,8139,1,4,awake_mean_tm1; awake_std_tm1; rem_mean_tm1; rem_std_tm1,success,41.93146096911678,41.188015456219354,9.763085608188819,25.588698866674484,63.19590246232635,0.005771142822140087,0.015359726381092976,0.08889249733823522,0.08660146127304709,0.05254349038206317,0.1343401419220497,2124,2334,2334,50,True
promis_dep_sum_t,rem_std_t,sex,Male,8139,8139,2,4,awake_mean_tm1; deep_mean_tm1; light_mean_tm1; rem_mean_tm1,success,61.85913170207161,61.561142885234545,12.068086409372222,41.83358853588802,80.64473781314423,0.0007150869646178383,0.005174978185792306,0.12310970978843372,0.12186961144483277,0.08408093274021568,0.16227859433502947,2123,2288,2288,50,True
promis_dep_sum_t,rem_std_t,sex,Male,8139,8139,3,4,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1,success,46.14713049681814,45.14888610346705,11.744819309972998,24.28351039567412,63.880077915944554,0.009612026907406729,0.03195376465290719,0.09183178653555289,0.08962613642244291,0.04935041657253022,0.12654812413978686,2092,2302,2302,50,True
promis_dep_sum_t,rem_std_t,sex,Male,8139,8139,4,5,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; temperature_trend_deviation_std_tm1,success,43.74140236767481,43.457313668901605,10.778077610563807,24.59585749365621,60.8567886982798,0.014504186734149004,0.03317137901219365,0.09080846626459438,0.09112857475451479,0.050665551919628155,0.12791597703727722,2110,2278,2278,50,True
promis_dep_sum_t,rem_std_t,sex,Male,8139,8139,5,5,awake_mean_tm1; awake_std_tm1; deep_std_tm1; light_mean_tm1; rem_mean_tm1,success,64.09571724787882,63.627660955446494,13.417430572206941,44.493987830269546,90.19120569270919,0.0002884313300217245,0.0024150840553065684,0.1322483000202207,0.13230887028537033,0.09208822290412559,0.18760356093421027,2125,2354,2354,50,True
promis_dep_sum_t,rem_std_t,sex,Female,6649,6649,1,4,awake_mean_tm1; awake_std_tm1; rem_mean_tm1; rem_std_tm1,success,15.464606761905925,16.57387464112901,12.019886479636781,-6.390677733535949,37.16662522376092,0.322763653914578,0.416408087413002,0.03167837128882999,0.033491063035922766,-0.01301493185751691,0.07854943736188585,1798,1956,1956,50,False
promis_dep_sum_t,rem_std_t,sex,Female,6649,6649,2,4,awake_mean_tm1; deep_mean_tm1; light_mean_tm1; rem_mean_tm1,success,57.52568975542482,58.14199753891033,14.318083276210746,30.269907512999367,85.97127475836989,0.00284049773698224,0.017678090626431456,0.11961008353534203,0.12002711326954567,0.06345392619869136,0.17928876834634996,1837,2072,2072,50,True
promis_dep_sum_t,rem_std_t,sex,Female,6649,6649,3,4,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1,success,48.98161557916999,48.09502392188131,13.540328462356984,22.60259828087123,70.37426279379338,0.01082883865446092,0.03882392524875529,0.10209013552078097,0.10037937001778532,0.04770792312485419,0.14626027769239763,1832,2016,2016,50,True
promis_dep_sum_t,rem_std_t,sex,Female,6649,6649,4,5,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; temperature_trend_deviation_std_tm1,success,43.54716607039541,42.27116735012183,11.525430953830485,22.75398121634882,64.35590386997033,0.038965424401529156,0.059865467018321815,0.08799462053497985,0.08464553901273801,0.046764247725992594,0.13087989445719483,1832,2040,2040,50,True
promis_dep_sum_t,rem_std_t,sex,Female,6649,6649,5,5,awake_mean_tm1; awake_std_tm1; deep_std_tm1; light_mean_tm1; rem_mean_tm1,success,32.48742780936785,32.727304423209276,14.087626506407743,8.42074607749575,58.267750354020244,0.1005739827118842,0.17801168075335685,0.06721773765317106,0.06735766826959752,0.017434589782893854,0.11959400342763028,1837,2004,2004,50,False
